Incident_ID,Created_Date,Resolved_Date,SLA_Deadline,Priority,Incident_Category,Assigned_Team,Business_Unit,Status,Resolution_Time_Hours,SLA_Target_Hours,SLA_Breached,Reopened,Change_Request_Linked,Change_Request_ID,Change_Type,Caused_By_Change,Customer_Impact,Risk_Score
INC100162,2024-01-28 13:03,2024-01-28 23:32,2024-01-28 17:03,P1,Security Breach,Service Desk L1,Legal & Compliance,Resolved,10.49,4,True,False,No,N/A,N/A,False,High,10.0
INC100344,2024-01-31 08:03,2024-01-31 13:39,2024-01-31 16:03,P2,Network Outage,Identity & Access Management,HR Operations,Closed,5.61,8,False,False,No,N/A,N/A,False,Low,5.9
INC100320,2024-01-31 10:51,2024-02-02 17:23,2024-02-03 10:51,P4,Capacity Exceeded,Infrastructure Engineering,Retail Banking,Resolved,54.54,72,False,False,No,N/A,N/A,False,Low,2.4
INC100062,2024-02-01 07:12,2024-02-01 17:39,2024-02-01 15:12,P2,Security Breach,Application Support L2,Finance,Closed,10.46,8,True,False,No,N/A,N/A,False,Medium,8.9
INC100232,2024-02-02 09:26,2024-02-08 02:30,2024-02-05 09:26,P4,Network Outage,Application Support L2,Customer Service,Closed,137.08,72,True,False,No,N/A,N/A,False,Low,3.9
INC100098,2024-02-07 04:32,2024-02-12 20:24,2024-02-10 04:32,P4,Data Corruption,Database Administration,Customer Service,Resolved,135.88,72,True,False,No,N/A,N/A,False,Low,3.8
INC100043,2024-02-09 03:38,2024-02-11 02:50,2024-02-12 03:38,P4,Database Performance,Enterprise Architecture,Supply Chain,Resolved,47.2,72,False,False,No,N/A,N/A,False,Low,1.3
INC100373,2024-02-09 12:56,2024-02-09 18:52,2024-02-09 16:56,P1,Data Corruption,Database Administration,Corporate IT,Closed,5.94,4,True,True,No,N/A,N/A,False,Medium,10.0
INC100579,2024-02-10 17:24,2024-02-10 19:14,2024-02-11 01:24,P2,Cloud Service Disruption,DevOps Engineering,Corporate IT,Resolved,1.84,8,False,False,No,N/A,N/A,False,Medium,5.0
INC100213,2024-02-13 09:45,2024-02-13 12:28,2024-02-13 17:45,P2,Access Management,Database Administration,Supply Chain,Closed,2.72,8,False,False,Yes,CHG200213,Normal,False,Low,6.4
INC100469,2024-02-14 04:36,2024-02-15 03:12,2024-02-17 04:36,P4,Data Corruption,Network Operations,HR Operations,Closed,22.61,72,False,False,No,N/A,N/A,False,Medium,0.6
INC100035,2024-02-15 00:21,2024-02-15 14:08,2024-02-15 08:21,P2,Application Error,Cloud Platform Team,Supply Chain,Resolved,13.8,8,True,False,No,N/A,N/A,False,Medium,8.3
INC100076,2024-02-16 01:35,2024-02-16 09:36,2024-02-16 09:35,P2,Cloud Service Disruption,Database Administration,Supply Chain,Closed,8.02,8,True,True,Yes,CHG200076,Standard,False,High,8.4
INC100192,2024-02-16 20:49,2024-02-18 01:38,2024-02-19 20:49,P4,Network Outage,Network Operations,Retail Banking,Closed,28.83,72,False,False,No,N/A,N/A,False,Low,1.1
INC100260,2024-02-17 02:43,2024-02-18 09:53,2024-02-18 02:43,P3,Authentication Failure,Service Desk L1,Supply Chain,Resolved,31.18,24,True,False,No,N/A,N/A,False,Low,6.3
INC100166,2024-02-18 07:26,2024-02-18 08:34,2024-02-21 07:26,P4,Security Breach,Infrastructure Engineering,Retail Banking,Closed,1.14,72,False,False,No,N/A,N/A,False,Low,2.0
INC100339,2024-02-21 05:59,2024-02-23 19:21,2024-02-24 05:59,P4,Application Error,Network Operations,Customer Service,Closed,61.38,72,False,False,No,N/A,N/A,False,Low,1.4
INC100120,2024-02-21 10:15,2024-02-22 17:48,2024-02-24 10:15,P4,Batch Job Failure,Enterprise Architecture,Finance,Closed,31.55,72,False,False,No,N/A,N/A,False,Low,1.4
INC100051,2024-02-21 17:15,2024-02-21 21:05,2024-02-22 01:15,P2,Database Performance,DevOps Engineering,Customer Service,Resolved,3.84,8,False,False,No,N/A,N/A,False,Medium,5.9
INC100027,2024-02-21 18:30,2024-02-22 09:59,2024-02-21 22:30,P1,Network Outage,Identity & Access Management,Finance,Closed,15.5,4,True,True,No,N/A,N/A,False,Low,10.0
INC100215,2024-02-23 03:26,2024-03-01 05:58,2024-02-26 03:26,P4,Cloud Service Disruption,Cybersecurity Response,HR Operations,Closed,170.55,72,True,True,No,N/A,N/A,False,Medium,3.9
INC100160,2024-02-23 20:30,2024-02-23 23:54,2024-02-24 00:30,P1,Authentication Failure,Database Administration,Supply Chain,Resolved,3.41,4,False,False,No,N/A,N/A,False,Low,9.9
INC100563,2024-02-24 14:41,2024-02-24 17:22,2024-02-24 18:41,P1,Hardware Failure,Cybersecurity Response,Supply Chain,Resolved,2.69,4,False,False,No,N/A,N/A,False,Medium,9.0
INC100445,2024-02-25 05:50,2024-02-26 03:01,2024-02-28 05:50,P4,Network Outage,Application Support L2,Retail Banking,Resolved,21.2,72,False,False,No,N/A,N/A,False,Medium,0.8
INC100348,2024-02-27 07:38,2024-02-27 10:38,2024-02-27 11:38,P1,Third-Party Integration Failure,Network Operations,Retail Banking,Resolved,3.0,4,False,False,Yes,CHG200348,Emergency,False,High,7.8
INC100329,2024-03-02 04:45,2024-03-02 07:53,2024-03-02 12:45,P2,Security Breach,Cloud Platform Team,Customer Service,Closed,3.14,8,False,False,Yes,CHG200329,Standard,False,Medium,5.6
INC100337,2024-03-04 07:08,2024-03-04 15:48,2024-03-04 11:08,P1,Database Performance,Application Support L2,Finance,Resolved,8.67,4,True,False,Yes,CHG200337,Normal,True,Medium,10.0
INC100123,2024-03-06 15:28,2024-03-07 02:14,2024-03-07 15:28,P3,Database Performance,Cloud Platform Team,Retail Banking,Resolved,10.78,24,False,False,No,N/A,N/A,False,Medium,4.7
INC100576,2024-03-08 05:59,2024-03-09 12:27,2024-03-09 05:59,P3,Security Breach,Cybersecurity Response,HR Operations,Closed,30.47,24,True,False,No,N/A,N/A,False,Low,6.2
INC100009,2024-03-08 06:58,2024-03-08 13:44,2024-03-09 06:58,P3,Access Management,Cloud Platform Team,Supply Chain,Resolved,6.77,24,False,False,No,N/A,N/A,False,Low,3.2
INC100377,2024-03-08 09:45,2024-03-09 04:08,2024-03-09 09:45,P3,Network Outage,DevOps Engineering,Wealth Management,Closed,18.4,24,False,False,No,N/A,N/A,False,Low,3.7
INC100151,2024-03-08 10:06,2024-03-09 01:51,2024-03-09 10:06,P3,Authentication Failure,Network Operations,Legal & Compliance,Closed,15.76,24,False,False,No,N/A,N/A,False,Low,3.6
INC100282,2024-03-09 09:02,2024-03-12 10:02,2024-03-10 09:02,P3,Third-Party Integration Failure,Service Desk L1,Legal & Compliance,Resolved,73.01,24,True,True,No,N/A,N/A,False,Low,4.7
INC100146,2024-03-10 15:28,2024-03-11 22:05,2024-03-11 15:28,P3,Access Management,Database Administration,Customer Service,Resolved,30.63,24,True,False,No,N/A,N/A,False,Low,5.6
INC100139,2024-03-14 12:55,2024-03-14 23:01,2024-03-15 12:55,P3,Security Breach,DevOps Engineering,Legal & Compliance,Closed,10.11,24,False,True,No,N/A,N/A,False,Medium,4.5
INC100524,2024-03-14 17:30,2024-03-18 22:31,2024-03-17 17:30,P4,Network Outage,Infrastructure Engineering,Corporate IT,Resolved,101.02,72,True,False,No,N/A,N/A,False,Medium,4.3
INC100245,2024-03-15 06:51,2024-03-15 20:51,2024-03-16 06:51,P3,Batch Job Failure,Enterprise Architecture,Finance,Closed,14.01,24,False,False,No,N/A,N/A,False,Low,3.5
INC100194,2024-03-15 22:03,2024-03-18 19:49,2024-03-16 22:03,P3,Data Corruption,Infrastructure Engineering,Customer Service,Closed,69.77,24,True,False,No,N/A,N/A,False,Medium,5.4
INC100183,2024-03-16 14:11,2024-03-16 17:10,2024-03-16 18:11,P1,Security Breach,Application Support L2,Wealth Management,Closed,2.99,4,False,False,No,N/A,N/A,False,Low,8.9
INC100105,2024-03-16 14:22,2024-03-18 07:59,2024-03-19 14:22,P4,Hardware Failure,DevOps Engineering,Wealth Management,Resolved,41.63,72,False,False,No,N/A,N/A,False,Low,1.8
INC100031,2024-03-16 17:13,2024-03-17 23:19,2024-03-17 17:13,P3,Network Outage,Service Desk L1,Retail Banking,Closed,30.11,24,True,False,No,N/A,N/A,False,Medium,4.9
INC100467,2024-03-19 16:41,2024-03-22 10:40,2024-03-20 16:41,P3,Third-Party Integration Failure,Database Administration,HR Operations,Closed,66.0,24,True,False,No,N/A,N/A,False,Low,5.5
INC100354,2024-03-20 07:22,2024-03-20 15:46,2024-03-20 15:22,P2,Third-Party Integration Failure,Database Administration,Legal & Compliance,Closed,8.41,8,True,False,No,N/A,N/A,False,High,9.1
INC100324,2024-03-20 18:23,2024-03-20 19:44,2024-03-20 22:23,P1,Data Corruption,Identity & Access Management,Supply Chain,Closed,1.35,4,False,False,Yes,CHG200324,Emergency,False,Low,9.0
INC100551,2024-03-21 01:58,2024-03-21 06:35,2024-03-21 05:58,P1,Network Outage,Enterprise Architecture,Corporate IT,Resolved,4.63,4,True,False,No,N/A,N/A,False,Medium,10.0
INC100369,2024-03-21 21:27,2024-03-24 08:22,2024-03-24 21:27,P4,Database Performance,Network Operations,Corporate IT,Closed,58.93,72,False,False,No,N/A,N/A,False,Low,0.9
INC100006,2024-03-22 07:55,2024-03-22 10:10,2024-03-22 15:55,P2,Batch Job Failure,Cybersecurity Response,Supply Chain,Resolved,2.26,8,False,False,Yes,CHG200006,Normal,False,Medium,6.5
INC100574,2024-03-22 22:49,2024-03-24 08:59,2024-03-23 22:49,P3,Batch Job Failure,Network Operations,Legal & Compliance,Closed,34.17,24,True,False,No,N/A,N/A,False,Low,5.5
INC100125,2024-03-23 10:38,2024-03-24 15:41,2024-03-24 10:38,P3,Capacity Exceeded,Service Desk L1,Retail Banking,Resolved,29.06,24,True,False,Yes,CHG200125,Standard,True,Low,7.2
INC100061,2024-03-24 15:01,2024-03-24 17:13,2024-03-24 19:01,P1,Hardware Failure,Cloud Platform Team,Supply Chain,Resolved,2.21,4,False,False,No,N/A,N/A,False,Medium,8.6
INC100149,2024-03-27 16:41,2024-03-30 00:34,2024-03-28 16:41,P3,Third-Party Integration Failure,Application Support L2,Legal & Compliance,Closed,55.89,24,True,False,No,N/A,N/A,False,Low,6.0
INC100471,2024-03-28 06:28,2024-03-29 12:22,2024-03-31 06:28,P4,Batch Job Failure,Network Operations,Supply Chain,Closed,29.9,72,False,False,No,N/A,N/A,False,Medium,1.0
INC100295,2024-03-30 14:55,2024-04-07 04:16,2024-04-02 14:55,P4,Third-Party Integration Failure,Infrastructure Engineering,Legal & Compliance,Closed,181.36,72,True,False,No,N/A,N/A,False,Low,3.6
INC100113,2024-04-02 12:00,2024-04-02 21:45,2024-04-03 12:00,P3,Batch Job Failure,Cloud Platform Team,Legal & Compliance,Resolved,9.75,24,False,False,No,N/A,N/A,False,Low,5.3
INC100406,2024-04-02 16:04,2024-04-03 14:13,2024-04-03 00:04,P2,Authentication Failure,Service Desk L1,Wealth Management,Resolved,22.16,8,True,False,No,N/A,N/A,False,Low,8.5
INC100128,2024-04-03 02:05,2024-04-04 12:16,2024-04-04 02:05,P3,Batch Job Failure,Service Desk L1,Retail Banking,Resolved,34.2,24,True,False,No,N/A,N/A,False,Low,4.9
INC100088,2024-04-03 15:22,2024-04-04 01:01,2024-04-04 15:22,P3,Authentication Failure,Cloud Platform Team,Customer Service,Resolved,9.66,24,False,False,No,N/A,N/A,False,Medium,3.7
INC100418,2024-04-03 19:39,2024-04-03 22:46,2024-04-03 23:39,P1,Network Outage,DevOps Engineering,Finance,Closed,3.12,4,False,False,No,N/A,N/A,False,Medium,8.1
INC100439,2024-04-04 11:14,2024-04-05 02:05,2024-04-05 11:14,P3,Database Performance,Cloud Platform Team,Corporate IT,Resolved,14.86,24,False,False,No,N/A,N/A,False,Low,3.0
INC100024,2024-04-05 07:10,2024-04-05 16:25,2024-04-05 15:10,P2,Application Error,Network Operations,Finance,Closed,9.26,8,True,False,No,N/A,N/A,False,Medium,8.5
INC100591,2024-04-05 09:20,2024-04-05 19:22,2024-04-08 09:20,P4,Authentication Failure,Identity & Access Management,Finance,Closed,10.04,72,False,False,No,N/A,N/A,False,Low,1.1
INC100548,2024-04-06 01:29,2024-04-06 02:29,2024-04-07 01:29,P3,Network Outage,Infrastructure Engineering,Wealth Management,Closed,1.0,24,False,False,No,N/A,N/A,False,Low,2.9
INC100408,2024-04-07 01:00,2024-04-07 22:53,2024-04-08 01:00,P3,Access Management,Cloud Platform Team,Retail Banking,Closed,21.89,24,False,False,No,N/A,N/A,False,Low,3.6
INC100537,2024-04-08 16:42,2024-04-09 04:02,2024-04-09 00:42,P2,Data Corruption,Identity & Access Management,Retail Banking,Resolved,11.35,8,True,False,Yes,CHG200537,Standard,True,Medium,9.6
INC100004,2024-04-09 11:54,2024-04-09 15:03,2024-04-09 19:54,P2,Application Error,Application Support L2,Corporate IT,Closed,3.16,8,False,False,Yes,CHG200004,Normal,False,Medium,6.2
INC100420,2024-04-09 21:14,2024-04-11 15:29,2024-04-12 21:14,P4,Capacity Exceeded,Service Desk L1,Retail Banking,Resolved,42.26,72,False,False,Yes,CHG200420,Normal,False,Low,1.4
INC100075,2024-04-12 06:18,2024-04-15 10:03,2024-04-15 06:18,P4,Third-Party Integration Failure,Infrastructure Engineering,Supply Chain,Closed,75.76,72,True,False,No,N/A,N/A,False,Low,3.9
INC100501,2024-04-12 23:17,2024-04-13 20:34,2024-04-15 23:17,P4,Database Performance,Enterprise Architecture,HR Operations,Closed,21.3,72,False,False,No,N/A,N/A,False,Medium,2.0
INC100357,2024-04-13 15:50,2024-04-13 21:54,2024-04-13 23:50,P2,Data Corruption,Identity & Access Management,Corporate IT,Closed,6.07,8,False,False,No,N/A,N/A,False,High,7.0
INC100432,2024-04-14 19:55,2024-04-15 16:02,2024-04-17 19:55,P4,Network Outage,Identity & Access Management,Customer Service,Closed,20.12,72,False,False,No,N/A,N/A,False,Low,2.0
INC100065,2024-04-14 22:49,2024-04-15 09:50,2024-04-15 06:49,P2,Security Breach,Application Support L2,HR Operations,Resolved,11.03,8,True,False,Yes,CHG200065,Emergency,False,Low,8.2
INC100278,2024-04-21 07:42,2024-04-21 09:32,2024-04-21 15:42,P2,Capacity Exceeded,DevOps Engineering,Retail Banking,Closed,1.84,8,False,False,No,N/A,N/A,False,High,6.1
INC100036,2024-04-24 02:56,2024-04-28 19:37,2024-04-27 02:56,P4,Cloud Service Disruption,Cloud Platform Team,Finance,Closed,112.69,72,True,False,No,N/A,N/A,False,Low,3.3
INC100410,2024-04-25 04:44,2024-04-26 13:42,2024-04-25 12:44,P2,Third-Party Integration Failure,Cloud Platform Team,Wealth Management,Closed,32.98,8,True,True,No,N/A,N/A,False,Low,7.7
INC100371,2024-04-25 13:09,2024-04-26 01:15,2024-04-26 13:09,P3,Capacity Exceeded,Enterprise Architecture,Corporate IT,Resolved,12.1,24,False,False,Yes,CHG200371,Emergency,False,Low,3.8
INC100412,2024-04-25 13:28,2024-04-28 22:57,2024-04-26 13:28,P3,Database Performance,Service Desk L1,Customer Service,Resolved,81.49,24,True,False,Yes,CHG200412,Normal,False,Low,5.9
INC100557,2024-04-25 21:26,2024-04-29 15:03,2024-04-28 21:26,P4,Data Corruption,Identity & Access Management,Retail Banking,Resolved,89.62,72,True,False,No,N/A,N/A,False,Low,3.8
INC100452,2024-04-27 05:42,2024-04-30 22:09,2024-04-30 05:42,P4,Authentication Failure,Infrastructure Engineering,HR Operations,Resolved,88.46,72,True,False,No,N/A,N/A,False,Low,3.4
INC100131,2024-04-27 08:36,2024-04-30 11:07,2024-04-30 08:36,P4,Application Error,Identity & Access Management,Legal & Compliance,Closed,74.52,72,True,False,No,N/A,N/A,False,Low,4.1
INC100229,2024-04-29 21:13,2024-04-30 14:02,2024-04-30 05:13,P2,Database Performance,Identity & Access Management,Customer Service,Closed,16.82,8,True,True,No,N/A,N/A,False,Low,8.0
INC100093,2024-04-30 20:53,2024-05-01 10:52,2024-05-01 20:53,P3,Security Breach,Application Support L2,Customer Service,Resolved,13.99,24,False,False,No,N/A,N/A,False,Low,3.4
INC100079,2024-05-01 17:48,2024-05-02 15:00,2024-05-02 17:48,P3,Hardware Failure,Application Support L2,HR Operations,Closed,21.21,24,False,False,No,N/A,N/A,False,Low,3.9
INC100368,2024-05-03 14:11,2024-05-04 00:55,2024-05-04 14:11,P3,Authentication Failure,Enterprise Architecture,Wealth Management,Closed,10.75,24,False,False,No,N/A,N/A,False,Medium,3.4
INC100450,2024-05-06 01:00,2024-05-06 06:39,2024-05-06 09:00,P2,Cloud Service Disruption,DevOps Engineering,Wealth Management,Closed,5.66,8,False,False,No,N/A,N/A,False,High,6.0
INC100583,2024-05-06 02:07,2024-05-09 07:03,2024-05-09 02:07,P4,Hardware Failure,Identity & Access Management,Wealth Management,Resolved,76.94,72,True,True,No,N/A,N/A,False,Low,3.0
INC100400,2024-05-06 11:45,2024-05-08 11:46,2024-05-07 11:45,P3,Authentication Failure,DevOps Engineering,Wealth Management,Resolved,48.02,24,True,False,No,N/A,N/A,False,Low,5.1
INC100174,2024-05-07 11:27,2024-05-08 14:39,2024-05-08 11:27,P3,Batch Job Failure,Identity & Access Management,Supply Chain,Closed,27.2,24,True,False,No,N/A,N/A,False,Low,5.7
INC100179,2024-05-09 02:15,2024-05-10 01:11,2024-05-10 02:15,P3,Authentication Failure,Service Desk L1,Finance,Resolved,22.93,24,False,False,No,N/A,N/A,False,Low,3.6
INC100202,2024-05-11 03:25,2024-05-11 12:16,2024-05-14 03:25,P4,Batch Job Failure,Enterprise Architecture,Retail Banking,Resolved,8.87,72,False,False,No,N/A,N/A,False,Low,1.1
INC100188,2024-05-12 13:32,2024-05-15 21:11,2024-05-15 13:32,P4,Access Management,Database Administration,Wealth Management,Resolved,79.66,72,True,False,No,N/A,N/A,False,Low,3.0
INC100230,2024-05-15 16:26,2024-05-19 08:02,2024-05-18 16:26,P4,Third-Party Integration Failure,Network Operations,Customer Service,Resolved,87.6,72,True,False,No,N/A,N/A,False,Low,3.1
INC100382,2024-05-15 20:11,2024-05-16 07:24,2024-05-16 04:11,P2,Network Outage,Network Operations,Customer Service,Resolved,11.22,8,True,False,No,N/A,N/A,False,Low,7.5
INC100308,2024-05-16 20:43,2024-05-17 09:19,2024-05-17 04:43,P2,Hardware Failure,Database Administration,Corporate IT,Closed,12.6,8,True,False,Yes,CHG200308,Emergency,False,Low,7.8
INC100060,2024-05-18 14:11,2024-05-19 16:02,2024-05-19 14:11,P3,Network Outage,Application Support L2,Corporate IT,Closed,25.85,24,True,False,Yes,CHG200060,Normal,True,Low,6.8
INC100214,2024-05-20 03:39,2024-05-22 00:04,2024-05-21 03:39,P3,Hardware Failure,DevOps Engineering,Supply Chain,Closed,44.42,24,True,False,No,N/A,N/A,False,Low,6.7
INC100253,2024-05-20 20:14,2024-05-21 08:55,2024-05-21 04:14,P2,Network Outage,Network Operations,Corporate IT,Closed,12.69,8,True,False,Yes,CHG200253,Standard,True,Low,10.0
INC100570,2024-05-21 09:44,2024-05-22 17:12,2024-05-24 09:44,P4,Security Breach,Database Administration,HR Operations,Closed,31.48,72,False,False,No,N/A,N/A,False,Medium,2.3
INC100084,2024-05-25 02:03,2024-05-26 02:28,2024-05-26 02:03,P3,Security Breach,Database Administration,Supply Chain,Resolved,24.42,24,True,False,No,N/A,N/A,False,Low,5.1
INC100589,2024-05-28 01:42,2024-06-01 00:09,2024-05-31 01:42,P4,Network Outage,Identity & Access Management,Finance,Resolved,94.47,72,True,False,No,N/A,N/A,False,Medium,4.6
INC100386,2024-06-02 16:48,2024-06-03 23:02,2024-06-05 16:48,P4,Batch Job Failure,Infrastructure Engineering,HR Operations,Resolved,30.25,72,False,False,No,N/A,N/A,False,Low,2.1
INC100165,2024-06-02 17:46,2024-06-05 08:00,2024-06-03 17:46,P3,Network Outage,Infrastructure Engineering,HR Operations,Closed,62.24,24,True,True,No,N/A,N/A,False,Low,5.6
INC100327,2024-06-03 00:59,2024-06-03 21:08,2024-06-03 08:59,P2,Third-Party Integration Failure,Cybersecurity Response,HR Operations,Closed,20.15,8,True,False,No,N/A,N/A,False,Low,7.9
INC100568,2024-06-04 10:57,2024-06-04 19:08,2024-06-05 10:57,P3,Cloud Service Disruption,Infrastructure Engineering,HR Operations,Closed,8.2,24,False,False,No,N/A,N/A,False,Low,3.5
INC100250,2024-06-05 06:21,2024-06-05 10:29,2024-06-05 14:21,P2,Authentication Failure,Cloud Platform Team,Supply Chain,Closed,4.14,8,False,False,Yes,CHG200250,Emergency,False,Low,6.5
INC100226,2024-06-05 14:47,2024-06-06 00:19,2024-06-06 14:47,P3,Security Breach,Database Administration,Customer Service,Resolved,9.55,24,False,False,No,N/A,N/A,False,Low,3.2
INC100437,2024-06-06 10:38,2024-06-07 14:00,2024-06-09 10:38,P4,Capacity Exceeded,Database Administration,Finance,Resolved,27.37,72,False,False,Yes,CHG200437,Emergency,False,Low,0.8
INC100026,2024-06-07 06:18,2024-06-07 23:24,2024-06-08 06:18,P3,Capacity Exceeded,DevOps Engineering,Customer Service,Resolved,17.1,24,False,False,No,N/A,N/A,False,Low,2.7
INC100236,2024-06-07 08:12,2024-06-07 20:24,2024-06-08 08:12,P3,Security Breach,Service Desk L1,Legal & Compliance,Resolved,12.2,24,False,False,No,N/A,N/A,False,Low,3.9
INC100135,2024-06-08 05:48,2024-06-14 04:42,2024-06-11 05:48,P4,Authentication Failure,Application Support L2,Finance,Resolved,142.91,72,True,False,No,N/A,N/A,False,Low,4.9
INC100032,2024-06-10 14:53,2024-06-11 13:36,2024-06-11 14:53,P3,Security Breach,Identity & Access Management,Supply Chain,Resolved,22.73,24,False,False,No,N/A,N/A,False,Low,3.6
INC100197,2024-06-12 10:59,2024-06-12 18:40,2024-06-12 14:59,P1,Authentication Failure,Cloud Platform Team,HR Operations,Resolved,7.69,4,True,False,No,N/A,N/A,False,High,10.0
INC100161,2024-06-13 08:28,2024-06-14 16:40,2024-06-14 08:28,P3,Application Error,Infrastructure Engineering,Retail Banking,Closed,32.2,24,True,False,No,N/A,N/A,False,Medium,6.3
INC100482,2024-06-13 12:40,2024-06-17 23:56,2024-06-16 12:40,P4,Data Corruption,Identity & Access Management,Finance,Closed,107.27,72,True,False,Yes,CHG200482,Standard,False,Low,4.2
INC100189,2024-06-14 10:59,2024-06-16 04:52,2024-06-17 10:59,P4,Database Performance,Infrastructure Engineering,Wealth Management,Resolved,41.89,72,False,False,No,N/A,N/A,False,Low,1.8
INC100111,2024-06-17 08:58,2024-06-18 10:56,2024-06-18 08:58,P3,Access Management,DevOps Engineering,Supply Chain,Closed,25.98,24,True,False,No,N/A,N/A,False,Low,7.1
INC100333,2024-06-17 14:29,2024-06-17 22:05,2024-06-18 14:29,P3,Application Error,Database Administration,Retail Banking,Resolved,7.6,24,False,False,No,N/A,N/A,False,Medium,2.2
INC100421,2024-06-17 15:08,2024-06-17 20:05,2024-06-17 19:08,P1,Capacity Exceeded,Application Support L2,Finance,Closed,4.97,4,True,True,No,N/A,N/A,False,Low,10.0
INC100415,2024-06-18 02:48,2024-06-22 02:17,2024-06-21 02:48,P4,Cloud Service Disruption,Service Desk L1,Customer Service,Closed,95.49,72,True,False,No,N/A,N/A,False,Low,3.2
INC100296,2024-06-18 19:08,2024-06-20 18:59,2024-06-19 19:08,P3,Authentication Failure,Identity & Access Management,Corporate IT,Closed,47.85,24,True,False,No,N/A,N/A,False,Low,6.6
INC100470,2024-06-19 08:59,2024-06-19 23:06,2024-06-20 08:59,P3,Authentication Failure,Database Administration,Finance,Closed,14.13,24,False,False,No,N/A,N/A,False,Low,2.2
